address,city,state,zip_code,property_type,lot_size_sqft,sold_date,sale_price($),lot_size_acres,latitude,longitude,price_per_acre,cluster,cluster_label,cluster_optimal,cluster_label_optimal,sold_month,sold_year,cluster_final,cluster_label_final,geo_cluster,neighborhood_name,area_cluster,area_name,manual_cluster,final_area_name,sold_quarter,sold_month_num
1221 Linger Longer Dr,Greensboro,GA,30642,Land,52707,2025-07-28,615000,1.21,33.41131402,-83.20656932,508264.46280991734,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,7
1051 Big Water Cir,Greensboro,GA,30642,Land,26136,2025-03-28,150000,0.6,33.46811258,-83.26336791,250000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q1,3
1000 Curtright Pl,Greensboro,GA,30642,Land,27443,2025-04-23,500000,0.63,33.41110072,-83.20452235,793650.7936507936,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,4
0 E Broad St,Greensboro,GA,30642,Land,30492,2024-11-22,28000,0.7,33.5784582,-83.1703827,40000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-11,2024,0,Mainstream Economy - Large Lots,2,Central Greensboro Affordable Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2024Q4,11
1290 Fairway Ridge Dr,Greensboro,GA,30642,Land,27443,2025-07-02,270000,0.63,33.47011861,-83.26278949,428571.4285714286,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q3,7
1150 Swift Crk,Greensboro,GA,30642,Land,172497,2025-05-12,600000,3.96,33.44807531,-83.20880298,151515.15151515152,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q2,5
1050 Akers Knl,Greensboro,GA,30642,Land,28314,2024-11-22,285000,0.65,33.44353719,-83.21784598,438461.53846153844,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,11
1020 Jackson Ln,Greensboro,GA,30642,Land,30492,2024-11-15,366500,0.7,33.40763283,-83.21016299,523571.4285714286,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2024Q4,11
1190 Curtright Pl,Greensboro,GA,30642,Land,21780,2025-07-30,2300000,0.5,33.41263754,-83.19886015,4600000.0,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2025-07,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,7
1130 Liberty Bluff Rd,Greensboro,GA,30642,Land,26572,2024-10-15,280000,0.61,33.40505299,-83.21220862,459016.39344262297,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2024Q4,10
1201 Maple Ridge Way,Greensboro,GA,30642,Land,52272,2025-04-18,370000,1.2,33.42424708,-83.22512017,308333.3333333334,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,4
1041 Dejarnet Ct,Greensboro,GA,30642,Land,43996,2025-03-14,391000,1.01,33.4218211,-83.22424749,387128.71287128713,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q1,3
1380 Armour Rd,Greensboro,GA,30642,Land,65819,2025-09-03,216000,1.51,33.47827254,-83.18212581,143046.35761589403,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-09,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q3,9
1051 Pebble Hill Ln,Greensboro,GA,30642,Land,27878,2025-08-25,53000,0.64,33.47358041,-83.25886368,82812.5,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q3,8
1241 Rose Crk,Greensboro,GA,30642,Land,34848,2025-01-08,479000,0.8,33.45723585,-83.21662461,598750.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-01,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q1,1
2200 Geer Rd,Union Point,GA,30669,Land,1750589,2024-10-04,195000,40.19,33.68305246,-83.15162806,4851.9532221945765,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-10,2024,0,Mainstream Economy - Large Lots,-1,,5,North Greensboro Affordable Neighborhood,1,Union Point Affordable Area,2024Q4,10
1011 Oliver Crk,Greensboro,GA,30642,Land,30492,2025-04-14,460000,0.7,33.4545362,-83.22897518,657142.8571428572,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q2,4
1310 Ham Fork Rd,Union Point,GA,30669,Land,4286304,2024-10-31,450000,98.4,33.68898623,-83.08113812,4573.170731707317,3,Premium Tier - High Value Areas,1,Budget Tier - Affordable Land,2024-10,2024,0,Mainstream Economy - Large Lots,-1,,9,Union Point Mid-Range Area,1,Union Point Affordable Area,2024Q4,10
106 Pinecrest Dr,Greensboro,GA,30642,Land,13939,2025-02-14,19000,0.32,33.57728886,-83.17181977,59375.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-02,2025,0,Mainstream Economy - Large Lots,2,Central Greensboro Affordable Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q1,2
1148 Pond Crest Ln,Greensboro,GA,30642,Land,30928,2024-11-07,650000,0.71,33.4656902,-83.26660841,915492.957746479,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2024Q4,11
1117 Grove Ridge Vw,Greensboro,GA,30642,Land,30928,2024-10-03,675000,0.71,33.473562,-83.266369,950704.2253521127,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2024Q4,10
0 Lamb Ave,Union Point,GA,30669,Land,74923,2024-11-11,38000,1.72,33.6112019,-83.0679606,22093.023255813954,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-11,2024,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,1,Union Point Affordable Area,2024Q4,11
Town Creek Blvd,Greensboro,GA,30642,Land,288803,2025-01-29,266112,6.63,33.5533773,-83.2049736,40137.55656108597,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,5,West Greensboro Mid-Range Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q1,1
1215 Howells Grove Rd,Greensboro,GA,30642,Land,48352,2025-05-01,750000,1.11,33.4087961,-83.1923823,675675.6756756756,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2025Q2,5
1165 Howells Grove Rd,Greensboro,GA,30642,Land,51401,2025-05-21,825000,1.18,33.4086647,-83.1932342,699152.5423728814,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2025Q2,5
1142 Village Overlook,Greensboro,GA,30642,Land,6534,2025-07-10,290000,0.15,33.41190202,-83.21958047,1933333.3333333335,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-07,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,7
2101 Sandy Frd,Greensboro,GA,30642,Land,29185,2025-09-19,630000,0.67,33.4601656,-83.2202131,940298.5074626865,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-09,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q3,9
0 Town Creek Blvd,Greensboro,GA,30642,Land,1213582,2025-05-12,783552,27.86,33.5533773,-83.2049736,28124.62311557789,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-05,2025,0,Mainstream Economy - Large Lots,5,West Greensboro Mid-Range Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q2,5
2131 Grey Land Rd,Greensboro,GA,30642,Land,217800,2025-07-22,62500,5.0,33.5467702,-83.1107542,12500.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-07,2025,0,Mainstream Economy - Large Lots,-1,,1,East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q3,7
1051 Oliver Crk,Greensboro,GA,30642,Land,47045,2024-12-10,350000,1.08,33.45498123,-83.22911342,324074.07407407404,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-12,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2024Q4,12
0 Old Eatonton Rd,Greensboro,GA,30642,Land,984891,2025-01-31,655690,22.61,33.5482982,-83.2081726,29000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,5,West Greensboro Mid-Range Area,2,Central Greensboro Mid-Range District,2,Central Greensboro Mid-Range District,2025Q1,1
1010 Osprey Cir,Greensboro,GA,30642,Land,24829,2025-04-02,130000,0.57,33.46265695,-83.20151027,228070.17543859652,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q2,4
2371 Club Dr,Greensboro,GA,30642,Land,43995,2024-11-21,87500,1.01,33.47894152,-83.19750128,86633.66336633664,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,11
1041 Longview Cmns,Greensboro,GA,30642,Land,5227,2024-11-05,230000,0.12,33.4031128,-83.1873634,1916666.6666666667,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-11,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2024Q4,11
1071 Scull Shoals Dr,Greensboro,GA,30642,Land,40075,2025-06-27,150000,0.92,33.4190994,-83.2145485,163043.47826086957,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-06,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,6
1071 Katherine Ln,Greensboro,GA,30642,Land,45738,2025-08-07,356000,1.05,33.44036783,-83.24649842,339047.61904761905,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,-1,,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q3,8
1070 Cloudland Ct,Greensboro,GA,30642,Land,55756,2024-10-25,1500000,1.28,33.46293547,-83.21172259,1171875.0,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2024-10,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,10
1080 Clearwater Dr,White Plains,GA,30678,Land,71874,2025-01-27,55000,1.65,33.4006947,-83.1691906,33333.333333333336,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-01,2025,1,Mainstream Premium - Standard Lots,-1,,11,South Greensboro Mid-Range District,0,White Plains Affordable Area,2025Q1,1
LOT 4 Penfield Rd,Greensboro,GA,30642,Land,444312,2025-05-07,106000,10.2,33.6254558,-83.1675932,10392.156862745098,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-05,2025,0,Mainstream Economy - Large Lots,-1,,5,North Greensboro Affordable Neighborhood,2,Central Greensboro Mid-Range District,2025Q2,5
2111 Bethany Rd,Greensboro,GA,30642,Land,134164,2024-12-20,30000,3.08,33.54531227,-83.04812861,9740.25974025974,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-12,2024,0,Mainstream Economy - Large Lots,-1,,1,East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2024Q4,12
1157 Village Overlook,Greensboro,GA,30642,Land,7405,2025-08-25,300000,0.17,33.41217379,-83.21930712,1764705.882352941,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,8
1152 Village Overlook,Greensboro,GA,30642,Land,6098,2025-09-09,300000,0.14,33.41213107,-83.21944742,2142857.1428571427,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-09,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q3,9
1141 Pond Crest Ln,Greensboro,GA,30642,Land,28750,2024-10-11,590000,0.66,33.46587489,-83.26649156,893939.3939393939,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-10,2024,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2024Q4,10
2681 Old Union Point Rd,Greensboro,GA,30642,Land,53143,2025-01-17,20000,1.22,33.6040473,-83.11571106,16393.44262295082,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q1,1
1207 Howells Grove Rd,Greensboro,GA,30642,Land,37897,2025-04-29,725000,0.87,33.4087961,-83.1923823,833333.3333333334,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2025Q2,4
5280 Veazey Rd,Greensboro,GA,30642,Land,264845,2025-02-21,76999,6.08,33.4702191,-83.112341,12664.309210526315,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-02,2025,0,Mainstream Economy - Large Lots,6,South East Greensboro Affordable Area,6,South East Greensboro Affordable Neighborhood,7,South East Greensboro Affordable Area,2025Q1,2
1026 Pond Crest Ln,Greensboro,GA,30642,Land,42689,2025-05-05,800000,0.98,33.4669093,-83.26377141,816326.530612245,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q2,5
1165 Village Overlook,Greensboro,GA,30642,Land,8712,2025-06-30,380000,0.2,33.41234178,-83.21929607,1900000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-06,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,6
0 Granite Dr,Greensboro,GA,30642,Land,157251,2025-09-19,74500,3.61,33.448377,-83.1730639,20637.119113573408,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-09,2025,1,Mainstream Premium - Standard Lots,-1,,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q3,9
1051 Shoulderbone Cir,Greensboro,GA,30642,Land,46609,2025-06-27,105000,1.07,33.43060014,-83.2266892,98130.84112149532,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-06,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q2,6
3191 Syrup Mill Xing,Greensboro,GA,30642,Land,522720,2024-10-18,216000,12.0,33.47692285,-83.11492875,18000.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2024-10,2024,0,Mainstream Economy - Large Lots,6,South East Greensboro Affordable Area,6,South East Greensboro Affordable Neighborhood,7,South East Greensboro Affordable Area,2024Q4,10
2460 Cherokee Dr,Greensboro,GA,30642,Land,53143,2024-12-17,59000,1.22,33.46257115,-83.20969483,48360.65573770492,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2024-12,2024,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2024Q4,12
1031 Bridle Bit Ln,Greensboro,GA,30642,Land,23087,2025-03-25,395000,0.53,33.47012467,-83.2368947,745283.0188679245,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q1,3
1050 Geneva Cir,Greensboro,GA,30642,Land,6534,2025-06-30,60000,0.15,33.46993177,-83.26951865,400000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-06,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q2,6
1030 North Shore Ct,Greensboro,GA,30642,Land,36154,2025-04-15,2050000,0.83,33.45229499,-83.2064106,2469879.5180722894,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2025-04,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q2,4
1040 Bunker Bnd,Greensboro,GA,30642,Land,24394,2025-08-08,639000,0.56,33.45535272,-83.22535748,1141071.4285714284,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-08,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,3,South West Greensboro Premium District,9,South West Greensboro Premium District,2025Q3,8
1710 Snug Harbor Dr,Greensboro,GA,30642,Land,54450,2025-06-06,55000,1.25,33.4736774,-83.26816919,44000.0,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-06,2025,1,Mainstream Premium - Standard Lots,1,South West Greensboro Mid-Range Neighborhood,10,South West Greensboro Mid-Range District,8,South West Greensboro Mid-Range District,2025Q2,6
1031 Snug Harbor Ct,Greensboro,GA,30642,Land,25265,2025-04-03,275000,0.58,33.47363621,-83.21020848,474137.9310344828,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-04,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q2,4
1051 Oak Vly,Greensboro,GA,30642,Land,40075,2025-03-07,117500,0.92,33.47570682,-83.19824333,127717.39130434782,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-03,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q1,3
0 Taylor Store Rd,Union Point,GA,30669,Land,83635,2025-06-27,32000,1.92,33.681476,-83.109974,16666.666666666668,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-06,2025,0,Mainstream Economy - Large Lots,-1,,9,Union Point Mid-Range Area,1,Union Point Affordable Area,2025Q2,6
1031 Shadow Creek Way,Greensboro,GA,30642,Land,27007,2025-05-15,50000,0.62,33.4766891,-83.19149005,80645.16129032258,0,Value Tier - Balanced Market,0,Mid-Market - Balanced Value,2025-05,2025,1,Mainstream Premium - Standard Lots,3,South West Greensboro Mid-Range District,0,South Greensboro Mid-Range District,3,South Greensboro Mid-Range District,2025Q2,5
1550 Richland Pointe,Greensboro,GA,30642,Land,5663,2024-12-06,490000,0.13,33.4033771,-83.195263,3769230.769230769,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2024-12,2024,1,Mainstream Premium - Standard Lots,0,South  Greensboro Premium Neighborhood,11,South Greensboro Mid-Range District,5,South West Greensboro Premium District,2024Q4,12
Parker Ln,Greensboro,GA,30642,Land,219978,2025-05-30,75000,5.05,33.540081,-83.130736,14851.485148514852,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-05,2025,0,Mainstream Economy - Large Lots,-1,,1,East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q2,5
1531 Bowden Pond Rd,Greensboro,GA,30642,Land,217800,2025-01-02,129000,5.0,33.5880458,-83.12183576,25800.0,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-01,2025,0,Mainstream Economy - Large Lots,-1,,4,North East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q1,1
1031 East Village Walk,Greensboro,GA,30642,Land,5663,2025-03-14,490000,0.13,33.413148,-83.219676,3769230.769230769,2,Luxury Tier - Exclusive Properties,2,Premium Tier - High-Value Properties,2025-03,2025,1,Mainstream Premium - Standard Lots,4,South West Greensboro Mid-Range District,8,South West Greensboro Premium District,5,South West Greensboro Premium District,2025Q1,3
Parker Ln,Greensboro,GA,30642,Land,436471,2025-02-21,121000,10.02,33.540081,-83.130736,12075.848303393213,1,Budget Tier - Entry Level Land,1,Budget Tier - Affordable Land,2025-02,2025,0,Mainstream Economy - Large Lots,-1,,1,East Greensboro Affordable Neighborhood,4,East Greensboro Affordable District,2025Q1,2
